pid,uptake_year,uptake_group
66,35,2
197,38,2
199,33,2
214,37,2
258,36,2
294,28,2
340,37,2
386,42,2
641,41,2
685,37,2
742,40,2
753,33,2
756,39,2
882,31,2
899,33,2
994,34,2
1011,39,2
1091,37,2
1123,38,2
1223,25,2
1260,27,2
1286,27,2
1382,44,2
1575,43,2
1656,37,2
1671,26,2
1772,28,2
1829,35,2
1872,33,2
1890,25,2
1959,41,2
2032,32,2
2069,34,2
2086,27,2
2115,30,2
2147,44,2
2257,36,2
2290,34,2
2328,44,2
2338,37,2
2341,30,2
2354,39,2
2381,30,2
2738,31,2
2765,40,2
2797,34,2
2955,29,2
3015,34,2
3207,27,2
3236,28,2
3297,33,2
3402,30,2
3785,32,2
3875,40,2
3937,32,2
3972,41,2
4037,44,2
4355,36,2
4358,40,2
4485,34,2
4521,27,2
4673,25,2
4713,30,2
4714,32,2
4759,36,2
4871,26,2
4879,43,2
4894,43,2
4939,30,2
4940,28,2
4965,30,2
5019,42,2
5037,32,2
5074,43,2
5282,27,2
5315,42,2
5351,39,2
5377,27,2
5449,39,2
5451,42,2
5712,44,2
5750,41,2
5940,33,2
6025,41,2
6209,43,2
6279,28,2
6434,28,2
6470,28,2
6532,31,2
6574,44,2
6628,32,2
6649,38,2
6678,37,2
6702,30,2
6733,27,2
6775,38,2
6818,37,2
6822,36,2
6915,30,2
6977,38,2
6985,42,2
7010,28,2
7014,32,2
7120,37,2
7225,42,2
7371,37,2
7378,44,2
7393,33,2
7463,44,2
7562,31,2
7664,44,2
7791,38,2
7815,42,2
7910,36,2
8033,28,2
8195,37,2
8312,37,2
8339,43,2
8463,38,2
8660,43,2
8680,33,2
8700,41,2
8764,41,2
8835,38,2
8855,36,2
8913,41,2
8996,26,2
9025,36,2
9072,35,2
9136,44,2
9161,44,2
9182,43,2
9229,41,2
9354,32,2
9362,33,2
9429,40,2
9527,44,2
9541,27,2
9588,37,2
9813,34,2
9896,28,2
9923,38,2
9962,27,2
9993,41,2
10020,32,2
10051,27,2
10089,35,2
10120,37,2
10121,40,2
10277,26,2
10441,31,2
10445,42,2
10478,29,2
10511,44,2
10567,38,2
10726,44,2
10754,27,2
10759,26,2
10787,38,2
10817,26,2
10826,36,2
10958,36,2
11182,35,2
11242,29,2
11251,37,2
11298,36,2
11304,36,2
11344,35,2
11489,44,2
11496,25,2
11799,37,2
11812,25,2
12055,36,2
12198,26,2
12401,41,2
12738,37,2
12747,38,2
12755,40,2
12906,40,2
13063,31,2
13201,39,2
13221,40,2
13236,39,2
13255,40,2
13316,43,2
13421,41,2
13438,43,2
13605,32,2
13809,40,2
13830,27,2
13890,26,2
14003,39,2
14101,38,2
14121,26,2
14186,44,2
14250,25,2
14337,36,2
14626,44,2
14689,36,2
14857,30,2
14861,43,2
14898,34,2
14977,27,2
14982,36,2
15003,42,2
15029,42,2
15051,27,2
15112,34,2
15177,28,2
15238,35,2
15245,41,2
15312,44,2
15532,33,2
15605,34,2
15651,43,2
15665,33,2
15669,40,2
15717,25,2
15721,32,2
15745,33,2
15822,27,2
15875,30,2
15889,34,2
15898,43,2
15909,27,2
15978,39,2
16070,26,2
16141,43,2
16199,35,2
16221,44,2
16331,44,2
16387,25,2
16488,34,2
16497,34,2
16515,29,2
16517,33,2
16548,26,2
16618,35,2
16834,35,2
16865,28,2
16873,33,2
16882,41,2
16968,34,2
17032,34,2
17097,44,2
17112,44,2
17195,41,2
17285,35,2
17488,44,2
17674,35,2
17714,37,2
17825,30,2
17831,34,2
17907,44,2
17956,41,2
17990,32,2
18177,30,2
18180,34,2
18314,43,2
18441,29,2
18443,27,2
18470,43,2
18544,41,2
18547,32,2
18699,36,2
18702,44,2
18814,43,2
18817,35,2
18836,35,2
18858,38,2
18994,40,2
19012,31,2
19073,25,2
19143,28,2
19162,41,2
19204,44,2
19220,42,2
19243,40,2
19338,37,2
19493,29,2
19524,36,2
19569,39,2
19575,38,2
19656,43,2
19657,37,2
19722,27,2
19812,28,2
19879,41,2
19938,31,2
19957,41,2
20169,27,2
20228,26,2
20242,36,2
20482,42,2
20514,28,2
20522,43,2
20711,28,2
20719,40,2
20723,41,2
20874,42,2
20924,42,2
20940,37,2
21047,43,2
21071,34,2
21122,29,2
21160,39,2
21317,38,2
21525,40,2
21547,37,2
21552,39,2
21560,41,2
21605,28,2
21636,39,2
21683,40,2
21701,40,2
21702,43,2
21706,35,2
21894,30,2
22280,35,2
22307,40,2
22343,43,2
22410,25,2
22507,44,2
22603,41,2
22668,40,2
22685,42,2
22803,42,2
22893,42,2
22980,28,2
22990,42,2
23001,38,2
23015,32,2
23154,40,2
23410,41,2
23429,40,2
23529,40,2
23564,39,2
23632,31,2
23691,35,2
23696,44,2
23705,38,2
23715,34,2
23756,30,2
24149,37,2
24261,34,2
24267,41,2
24367,29,2
24395,43,2
24420,33,2
24495,41,2
24673,44,2
24723,32,2
24753,42,2
24953,38,2
24964,28,2
24977,34,2
25040,34,2
25096,44,2
25282,39,2
25292,40,2
25358,44,2
25450,29,2
25481,36,2
25520,39,2
25571,38,2
25641,36,2
25729,28,2
25836,39,2
25889,25,2
26056,37,2
26082,25,2
26129,31,2
26145,32,2
26146,42,2
26227,38,2
26266,41,2
26562,43,2
26649,38,2
26666,28,2
26940,43,2
26965,40,2
26979,42,2
26983,44,2
27105,27,2
27107,39,2
27205,25,2
27227,40,2
27240,34,2
27255,41,2
27283,42,2
27303,27,2
27425,36,2
27559,43,2
27745,29,2
27799,44,2
27812,27,2
27920,43,2
27977,28,2
28025,41,2
28059,44,2
28066,33,2
28166,31,2
28237,28,2
28294,27,2
28424,39,2
28454,44,2
28458,37,2
28488,37,2
28571,44,2
28776,35,2
28784,33,2
28805,35,2
28937,44,2
29031,34,2
29095,38,2
29258,38,2
29544,43,2
29579,44,2
29605,35,2
29681,44,2
29734,33,2
29752,38,2
29836,25,2
29907,43,2
29960,30,2
29963,37,2
29993,38,2
30021,26,2
30211,29,2
30312,41,2
30313,44,2
30531,42,2
30545,43,2
30564,40,2
30632,44,2
30671,42,2
30692,27,2
30708,37,2
30722,28,2
30729,32,2
30824,43,2
30862,43,2
31109,27,2
31238,25,2
31251,34,2
31266,41,2
31281,38,2
31336,29,2
31342,37,2
31445,43,2
31466,39,2
31493,27,2
31527,27,2
31559,28,2
31564,26,2
31605,36,2
31623,34,2
31650,25,2
31670,35,2
31684,28,2
31785,35,2
31790,29,2
31814,29,2
32021,37,2
32101,36,2
32106,41,2
32107,43,2
32216,37,2
32331,27,2
32424,32,2
32427,40,2
32435,35,2
32447,44,2
32550,29,2
32615,35,2
33128,29,2
33287,31,2
33326,27,2
33412,28,2
33431,43,2
33505,26,2
33622,36,2
33677,32,2
33772,41,2
33809,32,2
33998,29,2
34148,43,2
34273,27,2
34283,39,2
34305,37,2
34378,27,2
34488,44,2
34497,29,2
34550,44,2
34567,25,2
34672,34,2
34725,34,2
34828,35,2
34922,43,2
34973,44,2
35047,33,2
35080,30,2
35160,40,2
35188,43,2
35241,26,2
35266,37,2
35470,29,2
35559,41,2
35665,41,2
35811,43,2
35847,30,2
35917,39,2
35957,42,2
36006,30,2
36135,31,2
36452,25,2
36493,39,2
36585,32,2
36612,43,2
36683,39,2
36712,34,2
36821,44,2
36837,25,2
36892,41,2
36961,44,2
37093,29,2
37099,32,2
37155,41,2
37226,34,2
37242,41,2
37318,33,2
37322,36,2
37350,27,2
37483,33,2
37511,34,2
37547,38,2
37552,38,2
37556,42,2
