pid,uptake_year,uptake_group
294,25,1
1223,25,1
1671,25,1
1890,25,1
2086,25,1
3207,25,1
4521,25,1
4673,25,1
4940,25,1
5377,25,1
6279,25,1
6470,25,1
8033,25,1
8996,25,1
10051,25,1
10277,25,1
10759,25,1
11496,25,1
11812,25,1
12198,25,1
13890,25,1
14121,25,1
14250,25,1
15717,25,1
16070,25,1
16387,25,1
19073,25,1
19493,25,1
20169,25,1
22410,25,1
22627,25,1
25889,25,1
26082,25,1
27205,25,1
27812,25,1
28294,25,1
29836,25,1
30021,25,1
31238,25,1
31493,25,1
31650,25,1
33505,25,1
34567,25,1
35241,25,1
36452,25,1
36837,25,1
38667,25,1
39009,25,1
40162,25,1
41446,25,1
42504,25,1
42565,25,1
43755,25,1
48905,25,1
49889,25,1
50241,25,1
50730,25,1
50756,25,1
50821,25,1
51461,25,1
52197,25,1
53219,25,1
53579,25,1
53953,25,1
56773,25,1
56817,25,1
56990,25,1
57051,25,1
57133,25,1
57249,25,1
57250,25,1
57395,25,1
57480,25,1
57498,25,1
57533,25,1
57540,25,1
57552,25,1
57735,25,1
57758,25,1
57765,25,1
57943,25,1
58142,25,1
58327,25,1
58694,25,1
59051,25,1
59171,25,1
59374,25,1
59634,25,1
59985,25,1
60091,25,1
60101,25,1
60320,25,1
60436,25,1
60515,25,1
60858,25,1
61086,25,1
61117,25,1
61148,25,1
61614,25,1
61649,25,1
62253,25,1
62712,25,1
62720,25,1
62790,25,1
63004,25,1
63058,25,1
63101,25,1
63409,25,1
63514,25,1
63926,25,1
63992,25,1
64267,25,1
64710,25,1
64739,25,1
65204,25,1
65293,25,1
65340,25,1
65708,25,1
65895,25,1
66078,25,1
66172,25,1
66185,25,1
66974,25,1
66994,25,1
67033,25,1
67047,25,1
67057,25,1
67087,25,1
67121,25,1
67197,25,1
67370,25,1
67725,25,1
67949,25,1
68318,25,1
68670,25,1
68699,25,1
68855,25,1
69016,25,1
69102,25,1
69245,25,1
69272,25,1
69744,25,1
70225,25,1
70260,25,1
70355,25,1
70389,25,1
70853,25,1
71097,25,1
71131,25,1
72182,25,1
72303,25,1
73164,25,1
73235,25,1
73305,25,1
73526,25,1
73545,25,1
74017,25,1
74036,25,1
74196,25,1
74349,25,1
74628,25,1
74807,25,1
74857,25,1
75085,25,1
75176,25,1
75314,25,1
75390,25,1
75468,25,1
75671,25,1
76432,25,1
76477,25,1
76640,25,1
76835,25,1
76907,25,1
77019,25,1
77055,25,1
77808,25,1
77845,25,1
77850,25,1
77903,25,1
78283,25,1
78322,25,1
78345,25,1
78450,25,1
78642,25,1
78645,25,1
78735,25,1
79104,25,1
79140,25,1
79452,25,1
79754,25,1
79967,25,1
80176,25,1
80263,25,1
80274,25,1
80348,25,1
81384,25,1
81438,25,1
81645,25,1
81694,25,1
81853,25,1
81862,25,1
81891,25,1
82247,25,1
82255,25,1
82326,25,1
82374,25,1
82458,25,1
82542,25,1
82566,25,1
82717,25,1
82864,25,1
83078,25,1
83105,25,1
83429,25,1
83736,25,1
83885,25,1
84006,25,1
84007,25,1
84136,25,1
84244,25,1
84454,25,1
84468,25,1
84485,25,1
84534,25,1
84873,25,1
85552,25,1
