pid,uptake_year,uptake_group
103,37,3
113,41,3
165,34,3
232,25,3
618,35,3
680,28,3
692,37,3
786,43,3
881,41,3
947,42,3
996,28,3
1163,38,3
1454,44,3
1609,36,3
1968,41,3
2347,40,3
2659,31,3
2721,28,3
2732,43,3
2808,41,3
2945,28,3
3109,44,3
3428,44,3
3555,28,3
3690,44,3
3788,40,3
3907,41,3
3919,40,3
4035,29,3
4432,39,3
4456,44,3
4462,40,3
4616,29,3
4620,43,3
4929,36,3
4942,31,3
4993,25,3
5155,36,3
5729,43,3
5801,37,3
5933,39,3
6440,32,3
6661,30,3
6666,39,3
6691,41,3
6702,39,3
6861,38,3
6982,40,3
6989,41,3
7022,29,3
7339,41,3
7395,40,3
7659,40,3
7813,37,3
8098,26,3
8368,33,3
8397,32,3
8557,41,3
8741,27,3
8865,39,3
8870,40,3
8871,40,3
9154,26,3
9669,31,3
9763,43,3
9830,25,3
9861,34,3
9865,30,3
10145,37,3
10247,42,3
10274,33,3
10503,32,3
10865,33,3
11047,31,3
11367,33,3
11721,25,3
11887,38,3
11907,34,3
11910,40,3
12165,29,3
12290,30,3
12364,33,3
12551,40,3
12932,36,3
13200,41,3
13549,36,3
13675,41,3
13830,30,3
13889,44,3
13977,44,3
13993,42,3
14276,27,3
14345,27,3
14452,41,3
14921,39,3
15080,39,3
15429,41,3
15528,30,3
15535,36,3
15629,41,3
16016,36,3
16234,37,3
16258,33,3
16449,43,3
16707,37,3
16938,41,3
17026,40,3
17251,40,3
17485,37,3
17506,38,3
17733,33,3
17807,41,3
17865,30,3
17870,32,3
18149,33,3
18243,32,3
18317,44,3
18353,44,3
18576,41,3
18820,38,3
18863,42,3
19334,43,3
19665,37,3
20492,31,3
20582,26,3
20676,38,3
20719,30,3
20962,29,3
20994,30,3
21028,41,3
21454,42,3
21484,25,3
21588,39,3
21905,31,3
21923,41,3
21953,33,3
22433,38,3
22479,41,3
22631,43,3
22735,37,3
23203,34,3
23239,44,3
23470,32,3
23763,34,3
23842,39,3
24001,39,3
24195,31,3
24427,33,3
24431,34,3
24458,43,3
24519,34,3
24780,30,3
24833,43,3
25072,44,3
25109,41,3
25121,40,3
25130,38,3
