pid,uptake_year,mc,uptake_group
100000804,25,2,1
100001250,25,2,1
100001346,25,2,1
100001572,25,2,1
100002243,25,2,1
100004166,25,2,1
100004289,25,2,1
100004548,25,2,1
100004552,25,2,1
100005829,25,2,1
100006147,25,2,1
100006980,25,2,1
100007265,25,2,1
100007846,25,2,1
100007976,25,2,1
100008522,25,2,1
100009508,25,2,1
100010275,25,2,1
100010401,25,2,1
100011619,25,2,1
100012001,25,2,1
100012456,25,2,1
100012901,25,2,1
100013092,25,2,1
100014217,25,2,1
100014465,25,2,1
100015274,25,2,1
100015500,25,2,1
100015585,25,2,1
100016455,25,2,1
100016555,25,2,1
100016773,25,2,1
100017736,25,2,1
100018890,25,2,1
100019138,25,2,1
100020195,25,2,1
100021065,25,2,1
100021610,25,2,1
100023332,25,2,1
100023683,25,2,1
100023969,25,2,1
100024262,25,2,1
100024843,25,2,1
100026660,25,2,1
100026856,25,2,1
100027529,25,2,1
100027971,25,2,1
100028194,25,2,1
100028673,25,2,1
100028929,25,2,1
100028937,25,2,1
100029545,25,2,1
100029765,25,2,1
100029862,25,2,1
100031115,25,2,1
100031723,25,2,1
100032042,25,2,1
100032068,25,2,1
100032612,25,2,1
100033379,25,2,1
100033508,25,2,1
100033633,25,2,1
100033895,25,2,1
100033955,25,2,1
100034241,25,2,1
100034474,25,2,1
100035493,25,2,1
100036068,25,2,1
100036933,25,2,1
100037153,25,2,1
100038278,25,2,1
100038890,25,2,1
100039812,25,2,1
100041803,25,2,1
100043074,25,2,1
100043557,25,2,1
100044097,25,2,1
100044930,25,2,1
100044933,25,2,1
100045065,25,2,1
100045251,25,2,1
100045441,25,2,1
100046241,25,2,1
100046658,25,2,1
100046721,25,2,1
100047367,25,2,1
100047493,25,2,1
100047875,25,2,1
100049218,25,2,1
100050278,25,2,1
100052929,25,2,1
100055592,25,2,1
100057417,25,2,1
100057459,25,2,1
100057570,25,2,1
100057580,25,2,1
100057624,25,2,1
100057679,25,2,1
100057728,25,2,1
100057760,25,2,1
100057761,25,2,1
100057764,25,2,1
100057880,25,2,1
100057982,25,2,1
100057985,25,2,1
100058153,25,2,1
100058221,25,2,1
100058422,25,2,1
100058516,25,2,1
100058594,25,2,1
100058758,25,2,1
100058840,25,2,1
100059124,25,2,1
100059146,25,2,1
100059204,25,2,1
100059283,25,2,1
100059455,25,2,1
100059457,25,2,1
100059631,25,2,1
100059784,25,2,1
100059844,25,2,1
100059876,25,2,1
100059880,25,2,1
100059925,25,2,1
100059944,25,2,1
100059966,25,2,1
100059980,25,2,1
100060197,25,2,1
100060488,25,2,1
100060651,25,2,1
100060833,25,2,1
100061007,25,2,1
100061205,25,2,1
100061240,25,2,1
100061241,25,2,1
100061336,25,2,1
100061469,25,2,1
100061473,25,2,1
100061474,25,2,1
100061488,25,2,1
100061493,25,2,1
100061592,25,2,1
100061829,25,2,1
100061926,25,2,1
100061996,25,2,1
100062080,25,2,1
100062095,25,2,1
100062233,25,2,1
100062263,25,2,1
100062284,25,2,1
100062322,25,2,1
100062371,25,2,1
100062381,25,2,1
100062407,25,2,1
100062511,25,2,1
100062517,25,2,1
100062548,25,2,1
100062586,25,2,1
100062599,25,2,1
100062612,25,2,1
100062749,25,2,1
100062877,25,2,1
100062913,25,2,1
100063010,25,2,1
100063059,25,2,1
100063079,25,2,1
100063091,25,2,1
100063121,25,2,1
100063184,25,2,1
100063189,25,2,1
100063216,25,2,1
100063281,25,2,1
100063320,25,2,1
100063328,25,2,1
100063333,25,2,1
100063367,25,2,1
100063469,25,2,1
100063564,25,2,1
100063666,25,2,1
100063669,25,2,1
100063701,25,2,1
100063765,25,2,1
100063969,25,2,1
100064064,25,2,1
100064073,25,2,1
100064138,25,2,1
100064213,25,2,1
100064261,25,2,1
100064294,25,2,1
100064327,25,2,1
100064328,25,2,1
100064506,25,2,1
100064598,25,2,1
100064770,25,2,1
100064802,25,2,1
100064846,25,2,1
100065087,25,2,1
100065116,25,2,1
100065192,25,2,1
100065205,25,2,1
100065269,25,2,1
100065296,25,2,1
100065305,25,2,1
100065332,25,2,1
100065378,25,2,1
100065441,25,2,1
100065469,25,2,1
100065481,25,2,1
100065521,25,2,1
100065592,25,2,1
100065619,25,2,1
100065663,25,2,1
100065749,25,2,1
100065818,25,2,1
100065823,25,2,1
100065940,25,2,1
100066150,25,2,1
100066280,25,2,1
100066342,25,2,1
100066496,25,2,1
100066573,25,2,1
100066783,25,2,1
100067007,25,2,1
100067029,25,2,1
100067039,25,2,1
100067045,25,2,1
100067052,25,2,1
100067136,25,2,1
100067245,25,2,1
100067252,25,2,1
100067294,25,2,1
100067401,25,2,1
100067404,25,2,1
100067508,25,2,1
100067662,25,2,1
100067758,25,2,1
100067797,25,2,1
100067806,25,2,1
100067870,25,2,1
100067994,25,2,1
100068240,25,2,1
100068269,25,2,1
100068353,25,2,1
100068492,25,2,1
100068562,25,2,1
100068563,25,2,1
100068663,25,2,1
100068669,25,2,1
100068751,25,2,1
100068823,25,2,1
100068976,25,2,1
100069019,25,2,1
100069124,25,2,1
100069145,25,2,1
100069149,25,2,1
100069154,25,2,1
100069176,25,2,1
100069201,25,2,1
100069279,25,2,1
100069348,25,2,1
100069399,25,2,1
100069402,25,2,1
100069425,25,2,1
100069440,25,2,1
100069522,25,2,1
100069530,25,2,1
100069572,25,2,1
100069590,25,2,1
100069602,25,2,1
100069746,25,2,1
100069932,25,2,1
100070063,25,2,1
100070079,25,2,1
100070166,25,2,1
100070187,25,2,1
100070293,25,2,1
100070355,25,2,1
100070361,25,2,1
100070595,25,2,1
100070615,25,2,1
100070659,25,2,1
100070832,25,2,1
100071111,25,2,1
100071129,25,2,1
100071143,25,2,1
100071224,25,2,1
100071317,25,2,1
100071427,25,2,1
100071481,25,2,1
100071585,25,2,1
100071778,25,2,1
100071800,25,2,1
100071865,25,2,1
100071977,25,2,1
100071979,25,2,1
100072029,25,2,1
100072055,25,2,1
100072074,25,2,1
100072096,25,2,1
100072202,25,2,1
100072288,25,2,1
100072322,25,2,1
100072337,25,2,1
100072427,25,2,1
100072448,25,2,1
100072550,25,2,1
100072554,25,2,1
100072568,25,2,1
100072575,25,2,1
100072632,25,2,1
100072744,25,2,1
100072779,25,2,1
100072972,25,2,1
100073158,25,2,1
100073217,25,2,1
100073307,25,2,1
100073346,25,2,1
100073355,25,2,1
100073388,25,2,1
100073493,25,2,1
100073556,25,2,1
100073589,25,2,1
100073616,25,2,1
100073639,25,2,1
100073662,25,2,1
100073794,25,2,1
100073803,25,2,1
100073846,25,2,1
100073935,25,2,1
100074076,25,2,1
100074082,25,2,1
100074107,25,2,1
100074175,25,2,1
100074248,25,2,1
100074259,25,2,1
100074297,25,2,1
100074301,25,2,1
100074372,25,2,1
100074448,25,2,1
100074507,25,2,1
100074540,25,2,1
100074699,25,2,1
100074731,25,2,1
100074790,25,2,1
100074854,25,2,1
100074889,25,2,1
100075022,25,2,1
100075150,25,2,1
100075159,25,2,1
100075166,25,2,1
100075284,25,2,1
100075324,25,2,1
100075389,25,2,1
100075494,25,2,1
100075572,25,2,1
100075602,25,2,1
100075615,25,2,1
100075642,25,2,1
100075730,25,2,1
100075826,25,2,1
100076048,25,2,1
100076135,25,2,1
100076165,25,2,1
100076239,25,2,1
100076276,25,2,1
100076349,25,2,1
100076433,25,2,1
100076554,25,2,1
100076680,25,2,1
100076683,25,2,1
100076715,25,2,1
100076753,25,2,1
100076873,25,2,1
100076913,25,2,1
100077019,25,2,1
100077027,25,2,1
100077068,25,2,1
100077114,25,2,1
100077323,25,2,1
100077343,25,2,1
100077345,25,2,1
100077402,25,2,1
100077425,25,2,1
100077515,25,2,1
100077660,25,2,1
100077686,25,2,1
100077706,25,2,1
100077751,25,2,1
100077784,25,2,1
100077970,25,2,1
100078101,25,2,1
100078104,25,2,1
100078146,25,2,1
100078198,25,2,1
100078211,25,2,1
100078307,25,2,1
100078315,25,2,1
100078356,25,2,1
100078459,25,2,1
100078566,25,2,1
100078827,25,2,1
100078890,25,2,1
100079004,25,2,1
100079011,25,2,1
100079072,25,2,1
100079184,25,2,1
100079203,25,2,1
100079366,25,2,1
100079367,25,2,1
100079414,25,2,1
100079421,25,2,1
100079527,25,2,1
100079641,25,2,1
100079703,25,2,1
100079762,25,2,1
100079764,25,2,1
100079785,25,2,1
100079873,25,2,1
100080076,25,2,1
100080237,25,2,1
100080356,25,2,1
100080375,25,2,1
100080521,25,2,1
100080522,25,2,1
100080524,25,2,1
100080581,25,2,1
100080584,25,2,1
100080623,25,2,1
100080673,25,2,1
100080733,25,2,1
100080816,25,2,1
100080853,25,2,1
100080875,25,2,1
100080994,25,2,1
100081039,25,2,1
100081099,25,2,1
100081178,25,2,1
100081302,25,2,1
100081349,25,2,1
100081443,25,2,1
100081616,25,2,1
100081668,25,2,1
100081676,25,2,1
100081797,25,2,1
100081808,25,2,1
100081922,25,2,1
100082238,25,2,1
100082292,25,2,1
100082297,25,2,1
100082317,25,2,1
100082319,25,2,1
100082426,25,2,1
100082474,25,2,1
100082512,25,2,1
100082553,25,2,1
100082609,25,2,1
100082639,25,2,1
100082742,25,2,1
100082745,25,2,1
100082753,25,2,1
100082788,25,2,1
100083327,25,2,1
100083451,25,2,1
100083467,25,2,1
100083545,25,2,1
100083600,25,2,1
100083634,25,2,1
100083648,25,2,1
100083665,25,2,1
100083920,25,2,1
100083971,25,2,1
100084160,25,2,1
100084252,25,2,1
100084407,25,2,1
100084491,25,2,1
100084506,25,2,1
100084610,25,2,1
100084674,25,2,1
100084728,25,2,1
100084759,25,2,1
100084834,25,2,1
100085052,25,2,1
100085097,25,2,1
100085188,25,2,1
100085262,25,2,1
100085296,25,2,1
100085357,25,2,1
100085508,25,2,1
100085546,25,2,1
100085636,25,2,1
100085702,25,2,1
100085709,25,2,1
100085798,25,2,1
100085808,25,2,1
100085855,25,2,1
100086009,25,2,1
100086045,25,2,1
100086053,25,2,1
100086066,25,2,1
100086081,25,2,1
100086128,25,2,1
100086181,25,2,1
100086277,25,2,1
100086301,25,2,1
100086381,25,2,1
100086783,25,2,1
100086825,25,2,1
100086860,25,2,1
100086873,25,2,1
100086938,25,2,1
100086947,25,2,1
100087008,25,2,1
100087051,25,2,1
100087136,25,2,1
100087174,25,2,1
100087192,25,2,1
100087235,25,2,1
100087336,25,2,1
100087540,25,2,1
100087586,25,2,1
100087646,25,2,1
100087794,25,2,1
100087797,25,2,1
100087800,25,2,1
100087881,25,2,1
100087922,25,2,1
100087936,25,2,1
100087957,25,2,1
100087958,25,2,1
100087998,25,2,1
100088073,25,2,1
100088146,25,2,1
100088199,25,2,1
100088341,25,2,1
