pid,uptake_year,mc,uptake_group
137,41,3,2
258,37,3,2
322,39,3,2
329,29,3,2
370,41,3,2
387,32,3,2
515,30,3,2
526,32,3,2
585,32,3,2
610,38,3,2
707,35,3,2
711,39,3,2
723,34,3,2
737,40,3,2
782,39,3,2
791,36,3,2
808,42,3,2
819,42,3,2
835,42,3,2
879,31,3,2
899,29,3,2
967,44,3,2
1027,34,3,2
1061,38,3,2
1075,35,3,2
1127,42,3,2
1222,29,3,2
1275,41,3,2
1321,34,3,2
1332,41,3,2
1413,37,3,2
1505,26,3,2
1560,38,3,2
1603,37,3,2
1604,32,3,2
1667,39,3,2
1721,38,3,2
1734,37,3,2
1806,39,3,2
1838,44,3,2
1897,39,3,2
2052,34,3,2
2064,37,3,2
2156,44,3,2
2251,39,3,2
2327,43,3,2
2340,39,3,2
2371,37,3,2
2595,43,3,2
2684,41,3,2
2753,41,3,2
2760,36,3,2
2828,42,3,2
2857,29,3,2
2883,42,3,2
2964,39,3,2
3019,44,3,2
3076,27,3,2
3339,43,3,2
3351,40,3,2
3402,30,3,2
3527,29,3,2
3530,31,3,2
3538,37,3,2
3564,39,3,2
3589,43,3,2
3624,38,3,2
3699,37,3,2
3767,42,3,2
3887,43,3,2
3914,41,3,2
3938,34,3,2
4002,35,3,2
4056,44,3,2
4171,38,3,2
4237,43,3,2
4302,38,3,2
4324,44,3,2
4355,31,3,2
4398,36,3,2
4423,33,3,2
4424,38,3,2
4436,41,3,2
4515,38,3,2
4531,34,3,2
4562,38,3,2
4679,37,3,2
4683,44,3,2
4773,43,3,2
4782,33,3,2
4816,29,3,2
4824,40,3,2
4909,41,3,2
5001,32,3,2
5007,35,3,2
5110,35,3,2
5254,39,3,2
5257,43,3,2
5473,32,3,2
5476,33,3,2
5516,36,3,2
5544,44,3,2
5559,38,3,2
5576,38,3,2
5605,30,3,2
5698,32,3,2
5985,33,3,2
5992,44,3,2
6058,33,3,2
6071,44,3,2
6149,30,3,2
6204,41,3,2
6362,43,3,2
6409,41,3,2
6434,25,3,2
6435,42,3,2
6443,43,3,2
6545,37,3,2
6603,29,3,2
6635,43,3,2
6649,42,3,2
6725,33,3,2
6729,40,3,2
6754,35,3,2
6788,26,3,2
6818,44,3,2
6854,25,3,2
6866,42,3,2
6886,39,3,2
6929,38,3,2
6955,40,3,2
7009,42,3,2
7011,33,3,2
7019,32,3,2
7048,34,3,2
7081,34,3,2
7155,40,3,2
7330,34,3,2
7344,40,3,2
7371,31,3,2
7396,36,3,2
7403,25,3,2
7435,33,3,2
7436,40,3,2
7522,34,3,2
7556,30,3,2
7560,40,3,2
7749,35,3,2
7786,39,3,2
7812,34,3,2
7939,29,3,2
7997,43,3,2
8040,42,3,2
8140,31,3,2
8161,25,3,2
8176,33,3,2
8231,33,3,2
8249,44,3,2
8259,38,3,2
8291,34,3,2
8377,42,3,2
8450,31,3,2
8459,43,3,2
8490,36,3,2
8547,36,3,2
8597,34,3,2
8621,41,3,2
8673,33,3,2
8677,38,3,2
8822,41,3,2
8854,44,3,2
8932,26,3,2
8938,32,3,2
9154,26,3,2
9199,39,3,2
9237,38,3,2
9249,31,3,2
9318,31,3,2
9334,43,3,2
9413,42,3,2
9505,30,3,2
9548,35,3,2
9601,37,3,2
9607,25,3,2
9752,43,3,2
9832,33,3,2
9877,40,3,2
9908,41,3,2
9954,27,3,2
10050,44,3,2
10054,38,3,2
10055,40,3,2
10117,32,3,2
10149,26,3,2
10210,26,3,2
10319,42,3,2
10369,40,3,2
10401,32,3,2
10532,34,3,2
10626,27,3,2
10690,29,3,2
