pid,uptake_year,mc
100000289,25,5
100000437,44,5
100000708,44,5
100000746,40,5
100001155,25,5
100001160,37,5
100001345,43,5
100001461,39,5
100001474,27,5
100001545,39,5
100001550,44,5
100001584,38,5
100001612,33,5
100001956,34,5
100002114,38,5
100002126,38,5
100002220,38,5
100002312,30,5
100002380,36,5
100002499,42,5
100002626,33,5
100002693,43,5
100002739,43,5
100002884,41,5
100002913,36,5
100003138,38,5
100003218,33,5
100003361,35,5
100003425,32,5
100003595,42,5
100004015,37,5
100004057,42,5
100004270,41,5
100004299,41,5
100004358,38,5
100004365,27,5
100004418,32,5
100004524,42,5
100004684,44,5
100004750,42,5
100005453,41,5
100005474,29,5
100005701,31,5
100005840,44,5
100005955,40,5
100006178,25,5
100006247,44,5
100006764,44,5
100006770,38,5
100007462,44,5
100007746,42,5
100007762,44,5
100007857,40,5
100007905,31,5
100007973,30,5
100008035,43,5
100008081,42,5
100008356,35,5
100008389,42,5
100008621,33,5
100008675,41,5
100008783,40,5
100009137,33,5
100009190,30,5
100009360,43,5
100009525,43,5
100009574,37,5
100009764,39,5
100009968,43,5
100010124,37,5
100010275,44,5
100010373,26,5
100010663,43,5
100010853,40,5
100011142,40,5
100011268,37,5
100011280,40,5
100011464,39,5
100011505,33,5
100011856,40,5
100012038,36,5
100012135,29,5
100012163,42,5
100012269,40,5
100012431,29,5
100012760,40,5
100013081,44,5
100013381,39,5
100013409,31,5
100013604,35,5
100014242,41,5
100014243,31,5
100014325,39,5
100014542,42,5
100014657,38,5
100014786,37,5
100015315,37,5
100015495,34,5
100015522,34,5
100015730,37,5
100016006,26,5
100016353,34,5
100016449,30,5
100016587,38,5
100016745,39,5
100016834,26,5
100017058,30,5
100017169,39,5
100017252,32,5
100017296,44,5
100017453,41,5
100017515,43,5
100017540,25,5
100017805,44,5
100018049,29,5
100018094,41,5
100018118,36,5
100018134,38,5
100018228,36,5
100018247,37,5
100018288,30,5
100018530,26,5
100018639,39,5
100018744,38,5
100018822,29,5
100018826,42,5
100018863,36,5
100019117,39,5
100019124,41,5
100019489,34,5
100019555,30,5
100019762,34,5
100019779,35,5
100019875,26,5
100019905,26,5
100020034,28,5
100020114,42,5
100020265,32,5
100020357,27,5
100020365,42,5
100020391,36,5
100020486,32,5
100020586,30,5
100020610,32,5
100020617,44,5
100020716,43,5
100020744,38,5
100020753,44,5
100020801,26,5
100020810,35,5
100020829,42,5
100020998,44,5
100021154,35,5
100021256,34,5
100021294,35,5
100021379,42,5
100021667,38,5
100021801,29,5
100021997,37,5
100022194,41,5
100022273,33,5
100022415,33,5
100022723,38,5
100022817,36,5
100022828,40,5
100022983,30,5
100023023,40,5
100023138,36,5
100023180,25,5
100023755,29,5
100023781,27,5
100023906,35,5
100023975,36,5
100024070,35,5
100024442,40,5
100024450,39,5
100024677,43,5
100024753,40,5
100024777,44,5
100024872,35,5
100024972,27,5
100025097,41,5
100025225,42,5
100025293,40,5
100025701,25,5
100025781,42,5
100025847,44,5
100025863,37,5
100025929,35,5
100026050,41,5
100026115,33,5
100026255,38,5
100026439,43,5
100026478,27,5
100026564,38,5
100026986,25,5
100027193,40,5
100027405,27,5
100027459,44,5
100027553,34,5
100027783,41,5
100027848,40,5
100027907,25,5
100027927,36,5
100027939,32,5
100028020,41,5
100028201,44,5
100028258,30,5
100028329,33,5
100028353,40,5
100028549,43,5
100028553,39,5
100028680,25,5
100028708,37,5
100028749,39,5
100028780,44,5
100028948,44,5
100029027,33,5
100029098,44,5
100029105,37,5
100029222,42,5
100029494,42,5
100029607,34,5
100029672,39,5
100029987,34,5
100030242,28,5
100030469,29,5
100030535,41,5
100030661,42,5
100030767,41,5
100030785,33,5
100030890,37,5
100030922,39,5
100031042,26,5
100031052,33,5
100031169,36,5
100031182,39,5
100031219,41,5
100031343,35,5
100031726,34,5
100031811,37,5
100031927,43,5
100032035,31,5
100032321,35,5
100032361,43,5
100032516,32,5
100032994,25,5
100033011,41,5
100033426,41,5
100033569,44,5
100033604,31,5
100033635,25,5
100033642,31,5
100033766,36,5
100033772,37,5
100033777,40,5
100033795,31,5
100034056,41,5
100034181,35,5
100034284,27,5
100034320,42,5
100034564,40,5
100034630,26,5
100034722,25,5
100034735,33,5
100034820,28,5
100034861,28,5
100034934,40,5
100035143,42,5
100035691,31,5
100035739,42,5
100036132,32,5
100036483,44,5
100036808,43,5
100036838,38,5
100036880,34,5
100036979,44,5
100037070,44,5
100037182,44,5
100037222,41,5
100037829,26,5
100038042,42,5
100038051,25,5
100038149,34,5
100038218,26,5
100038293,39,5
100038317,35,5
100038379,33,5
100038566,38,5
100038616,43,5
100038917,42,5
100038983,40,5
100038984,30,5
100039076,35,5
100039078,37,5
100039338,40,5
100039411,41,5
100039472,29,5
100039556,35,5
100039628,42,5
100039654,39,5
100039689,43,5
100039823,41,5
100039913,35,5
100040152,41,5
100040179,33,5
100040266,42,5
100040328,43,5
100040374,38,5
100040417,27,5
100040454,27,5
100040516,37,5
100040646,29,5
100040801,33,5
100041093,42,5
100041255,29,5
100041307,43,5
100041350,44,5
100041798,39,5
100041829,32,5
100042243,38,5
100042252,38,5
100042435,38,5
100042517,41,5
100042821,42,5
100042822,26,5
100042945,44,5
100043087,44,5
100043209,33,5
100043236,43,5
100043330,28,5
100043367,40,5
100043521,44,5
100043524,43,5
100043540,42,5
100043716,36,5
100043873,42,5
100044014,44,5
100044044,35,5
100044111,43,5
100044168,36,5
100044243,33,5
100044264,32,5
100044457,37,5
100044681,32,5
100044705,32,5
100044849,43,5
100045233,39,5
100045322,41,5
100045496,40,5
100045528,41,5
100045602,32,5
100045615,41,5
100045796,34,5
100045872,44,5
100045961,39,5
100046058,42,5
100046062,37,5
100046156,43,5
100046157,40,5
100046278,38,5
100046420,41,5
100046538,35,5
100046564,44,5
100046593,44,5
100046594,26,5
100046630,33,5
100046850,32,5
100047108,31,5
100047116,28,5
100047142,32,5
100047274,43,5
100047491,37,5
100047590,44,5
100047591,40,5
100048005,39,5
100048116,37,5
100048198,30,5
100048246,42,5
100048315,40,5
100048594,43,5
100048600,37,5
100048609,37,5
100048650,44,5
100048908,44,5
100049058,39,5
100049264,35,5
100049384,39,5
100049827,25,5
100049895,36,5
100049904,39,5
100050028,33,5
100050209,40,5
100050251,38,5
100050279,43,5
100050305,29,5
100050345,30,5
100050354,34,5
100050570,41,5
100050754,27,5
100050987,36,5
100051002,39,5
100051012,39,5
100051098,39,5
100051105,42,5
100051201,42,5
100051332,31,5
100051503,43,5
100051623,42,5
100051784,39,5
100051812,36,5
100051813,38,5
100052240,43,5
100052262,35,5
100052269,28,5
100052290,38,5
100052325,27,5
100052803,25,5
100052805,41,5
100052937,33,5
100053315,37,5
100053473,30,5
100053475,34,5
100053478,41,5
100053551,42,5
100053574,31,5
100053637,39,5
100053899,42,5
100054071,38,5
100054100,43,5
100054113,39,5
100054115,28,5
100054148,37,5
100054156,38,5
100054160,38,5
100054192,42,5
100054250,35,5
100054305,42,5
100054344,42,5
100054630,40,5
100054723,37,5
100054820,33,5
100054830,43,5
100054916,37,5
100054985,42,5
100055311,35,5
100055333,39,5
100055398,26,5
100055467,44,5
100055715,37,5
100056039,33,5
100056068,40,5
100056171,37,5
100056266,28,5
100056298,39,5
100056399,42,5
100056417,40,5
100056468,39,5
100056597,27,5
100056638,35,5
100056692,34,5
100056694,43,5
100056711,27,5
100056721,37,5
100056761,32,5
100057041,33,5
100057089,30,5
100057101,37,5
100057130,28,5
100057236,34,5
100057316,29,5
100057330,25,5
100057332,26,5
100057353,26,5
100057543,44,5
100057582,30,5
100057613,44,5
100057628,31,5
100057732,25,5
100057793,27,5
100057809,30,5
100057824,31,5
100057850,26,5
100057881,34,5
100058039,25,5
100058049,26,5
100058174,26,5
100058241,25,5
100058332,28,5
100058465,40,5
100058649,29,5
100058928,44,5
100058977,26,5
100059072,25,5
100059077,30,5
100059259,35,5
100059312,32,5
100059570,34,5
100059671,26,5
100059735,30,5
100059745,28,5
100059804,28,5
100059840,37,5
100059914,26,5
100059984,29,5
100060174,32,5
100060436,38,5
100060482,25,5
100060538,36,5
100060546,39,5
100060590,35,5
100060689,31,5
100060838,29,5
100060840,37,5
100060846,33,5
100060963,26,5
100061025,33,5
100061045,28,5
100061099,31,5
100061141,34,5
100061252,41,5
100061260,29,5
100061340,27,5
100061380,32,5
100061413,40,5
100061416,25,5
100061420,40,5
100061502,29,5
100061508,25,5
100061799,27,5
100061818,30,5
100061840,31,5
100061877,26,5
100061975,30,5
100062061,42,5
100062123,35,5
100062126,28,5
100062286,31,5
100062342,25,5
100062374,29,5
100062436,26,5
100062462,34,5
100062506,29,5
100062522,27,5
100062682,38,5
100062698,41,5
100063136,35,5
100063143,41,5
100063551,31,5
100063818,36,5
100063884,35,5
100063925,29,5
100064019,26,5
100064047,40,5
100064087,26,5
100064115,25,5
100064164,28,5
100064170,37,5
100064344,32,5
100064360,41,5
100064610,31,5
100064654,37,5
100064853,28,5
100065001,29,5
100065065,28,5
100065133,28,5
100065215,32,5
100065230,36,5
100065233,35,5
100065312,30,5
100065325,39,5
100065406,28,5
100065509,34,5
100065605,27,5
100065615,36,5
100065632,38,5
100065675,36,5
100065712,29,5
100065884,27,5
100066039,34,5
100066109,27,5
100066114,43,5
100066160,27,5
100066213,27,5
100066248,34,5
100066391,27,5
100066398,32,5
100066454,39,5
100066585,32,5
100066613,43,5
100066614,35,5
100066758,26,5
100066774,28,5
100066837,30,5
100066839,40,5
100066852,29,5
100066950,26,5
100067028,35,5
100067072,28,5
100067155,32,5
100067179,40,5
100067235,33,5
100067341,32,5
100067350,37,5
100067393,26,5
100067465,28,5
100067588,25,5
100067730,26,5
100067788,28,5
100067907,38,5
100067928,25,5
100067950,28,5
100068008,30,5
100068044,39,5
100068226,26,5
100068246,27,5
100068269,33,5
100068277,32,5
100068329,31,5
100068393,27,5
100068454,30,5
100068487,29,5
100068498,32,5
100068588,28,5
100068665,35,5
100068667,26,5
100068719,37,5
100068784,29,5
100068869,32,5
100069325,42,5
100069331,37,5
100069373,29,5
100069439,33,5
100069448,28,5
100069451,34,5
100069503,41,5
100069528,28,5
100069584,43,5
100069637,37,5
100069739,31,5
100069813,33,5
100069843,29,5
100069947,40,5
100069973,40,5
100069987,25,5
100069997,29,5
100070007,34,5
100070040,26,5
100070129,44,5
100070195,31,5
100070196,25,5
100070211,36,5
100070487,26,5
100070594,26,5
100070608,27,5
100070620,26,5
100070642,30,5
100070686,30,5
100070829,34,5
100070854,44,5
100071051,25,5
100071131,33,5
100071136,39,5
100071191,33,5
100071261,39,5
100071276,26,5
100071463,36,5
100071467,28,5
100071468,26,5
100071620,29,5
100071645,36,5
100071678,29,5
100071751,33,5
100071856,30,5
100071861,26,5
100071873,36,5
100072025,29,5
100072170,28,5
100072204,29,5
100072248,26,5
100072255,27,5
100072409,29,5
100072444,28,5
100072651,40,5
100072655,34,5
100072723,25,5
100072739,28,5
100072755,40,5
100072797,29,5
100072879,26,5
100072929,32,5
100072965,25,5
100073019,39,5
100073031,25,5
100073099,28,5
100073168,39,5
100073191,29,5
100073221,44,5
100073246,40,5
100073363,33,5
100073444,28,5
100073503,42,5
100073540,27,5
100073584,25,5
100073626,30,5
100073760,25,5
100073783,25,5
100073845,36,5
100073911,27,5
100074036,44,5
100074050,35,5
100074116,27,5
100074178,34,5
100074261,28,5
100074286,29,5
100074438,26,5
100074515,25,5
100074542,37,5
100074562,25,5
100074621,35,5
100074822,26,5
100074832,29,5
100074894,25,5
100074956,26,5
100075086,26,5
100075107,40,5
100075108,27,5
100075125,34,5
100075152,38,5
100075157,33,5
100075172,25,5
100075180,38,5
100075242,28,5
100075301,35,5
100075355,34,5
100075373,25,5
100075492,29,5
100075494,27,5
100075523,32,5
100075552,39,5
100075594,36,5
100075663,28,5
100075693,33,5
100075751,26,5
100075818,28,5
100075945,42,5
100075977,27,5
100075992,37,5
100076163,29,5
100076192,39,5
100076314,35,5
100076395,26,5
100076573,32,5
100076596,33,5
100076672,40,5
100076777,25,5
100076858,35,5
100076862,31,5
100077106,29,5
100077317,26,5
100077318,25,5
100077333,40,5
100077485,35,5
100077494,28,5
100077524,39,5
100077619,26,5
100077908,26,5
100077918,37,5
100078074,39,5
100078080,27,5
100078315,30,5
100078345,26,5
100078393,32,5
100078442,26,5
100078523,26,5
100078793,34,5
100078830,33,5
100078867,30,5
100078900,28,5
100079074,26,5
100079131,33,5
100079216,29,5
100079272,25,5
100079316,27,5
100079408,26,5
100079451,32,5
100079494,37,5
100079619,39,5
100079648,26,5
100079675,28,5
100079683,32,5
100079748,34,5
100079785,25,5
100079856,25,5
100079866,30,5
100079971,37,5
100080234,26,5
100080303,34,5
100080359,37,5
100080532,30,5
100080537,25,5
100080663,28,5
100080742,42,5
100080768,34,5
100080867,44,5
100080884,30,5
100081188,28,5
100081193,25,5
100081247,35,5
100081254,28,5
100081359,35,5
100081397,28,5
100081475,35,5
100081515,34,5
100081518,33,5
100081620,28,5
100081680,25,5
100081882,25,5
100081950,27,5
100081990,33,5
100082130,29,5
100082145,36,5
100082241,36,5
100082249,36,5
100082252,44,5
100082258,38,5
100082412,39,5
100082535,37,5
100082577,32,5
100082597,37,5
100082617,34,5
100082624,28,5
100082636,26,5
100082640,29,5
100082758,41,5
100082787,25,5
100082790,25,5
100082795,35,5
100082808,28,5
100082819,33,5
100082844,31,5
100082849,42,5
100082925,32,5
100082937,41,5
100082984,29,5
100083022,26,5
100083283,26,5
100083327,36,5
100083392,31,5
100083418,36,5
100083424,25,5
100083429,27,5
100083459,25,5
100083476,36,5
100083492,36,5
100083570,34,5
100083665,31,5
100083696,31,5
100083738,28,5
100084036,25,5
100084130,43,5
100084179,26,5
100084193,25,5
100084388,27,5
100084562,42,5
100084582,28,5
100084648,25,5
100084652,38,5
100084716,29,5
100084734,29,5
100084822,27,5
100084843,31,5
100084850,34,5
100084882,31,5
100084885,34,5
100084921,26,5
100084931,31,5
100084963,34,5
100084979,32,5
100085037,28,5
100085057,38,5
100085358,27,5
100085430,30,5
100085511,34,5
100085571,29,5
100085648,30,5
100085705,38,5
100085722,30,5
100085783,34,5
100085788,34,5
100085829,31,5
100085914,25,5
100085936,25,5
100086018,32,5
100086178,34,5
100086244,27,5
100086329,30,5
100086583,25,5
100086646,27,5
100086703,33,5
100086736,35,5
100086784,28,5
100086854,25,5
100086945,43,5
100086998,31,5
100087058,38,5
100087067,34,5
100087083,28,5
100087208,42,5
100087266,25,5
100087334,38,5
100087386,37,5
100087451,36,5
100087575,25,5
100087653,28,5
100087751,36,5
100087766,35,5
100087916,26,5
100087942,31,5
100087978,34,5
100088016,28,5
100088178,35,5
100088244,32,5
100088526,37,5
100088528,34,5
100088788,38,5
100088964,43,5
100089021,27,5
100089028,40,5
100089087,38,5
100089141,26,5
100089154,29,5
100089258,33,5
100089327,26,5
100089378,26,5
100089621,29,5
100089693,30,5
100089719,29,5
100089756,36,5
100089834,43,5
100089845,32,5
100089864,31,5
100089890,27,5
100089940,35,5
100089972,38,5
100089975,28,5
100090003,34,5
100090070,36,5
100090238,30,5
100090251,31,5
100090256,27,5
100090505,35,5
100090661,37,5
100090707,35,5
100090729,35,5
100090785,34,5
100090828,38,5
100090896,36,5
100090899,30,5
100091125,27,5
100091133,27,5
100091144,30,5
100091165,40,5
100091305,30,5
100091307,27,5
100091366,35,5
100091623,32,5
100091746,42,5
100091779,29,5
100092078,35,5
100092097,30,5
100092102,38,5
100092121,29,5
100092168,39,5
100092204,27,5
100092380,36,5
100092489,42,5
100092565,26,5
100092623,27,5
100092635,40,5
100092647,41,5
100092761,39,5
100092907,27,5
100093001,28,5
100093149,32,5
100093491,33,5
100093493,25,5
100093519,27,5
100093621,27,5
100093657,37,5
100093688,30,5
100093864,30,5
100093881,28,5
100093896,30,5
100093922,26,5
100094068,43,5
100094132,27,5
100094138,35,5
100094290,32,5
100094344,38,5
100094454,25,5
100094511,28,5
100094568,30,5
100094771,30,5
100094784,34,5
100094987,34,5
100095005,28,5
100095207,33,5
100095236,28,5
100095279,29,5
100095289,26,5
100095316,27,5
100095338,33,5
100095386,42,5
100095431,25,5
100095580,42,5
100095582,29,5
100095694,25,5
100095713,33,5
100095738,34,5
100095758,27,5
100095809,41,5
100095891,31,5
100095991,39,5
100096071,42,5
100096121,25,5
100096144,26,5
100096333,29,5
100096401,31,5
100096470,28,5
100096547,25,5
100096701,29,5
100096716,29,5
100096816,26,5
100096866,36,5
100097140,31,5
100097238,26,5
100097279,28,5
100097299,37,5
100097341,25,5
100097470,28,5
100097729,27,5
100097867,36,5
100097949,25,5
100097978,27,5
100098134,35,5
100098183,25,5
100098353,34,5
100098354,32,5
100098362,31,5
100098364,41,5
100098420,31,5
100098464,31,5
100098492,27,5
100098495,34,5
100098560,42,5
100098898,25,5
100099025,27,5
100099062,26,5
100099088,32,5
100099507,36,5
100099592,29,5
100099740,36,5
100099749,29,5
100099846,32,5
100099899,27,5
100099967,29,5
100099994,32,5
100100012,31,5
100100056,32,5
100100179,25,5
100100299,44,5
100100436,39,5
100100571,41,5
100100609,25,5
100100644,27,5
100100829,33,5
100101003,28,5
100101149,33,5
100101196,31,5
100101230,38,5
100101242,30,5
100101246,39,5
100101311,29,5
100101322,29,5
100101364,40,5
100101410,26,5
100101503,25,5
100101529,25,5
100101570,26,5
100101660,33,5
100101672,25,5
100101746,43,5
100101830,25,5
100101855,31,5
100101963,30,5
100102028,35,5
100102036,26,5
100102188,27,5
100102217,41,5
100102301,27,5
100102327,28,5
100102456,25,5
100102516,41,5
100102546,30,5
100102548,34,5
100102595,25,5
100102650,36,5
100102704,30,5
100102885,28,5
100103034,29,5
100103155,27,5
100103357,33,5
100103463,26,5
100103542,25,5
100103739,25,5
100104146,30,5
100104202,32,5
100104226,29,5
100104230,26,5
100104469,35,5
100104546,44,5
100104597,26,5
100104652,44,5
100104772,30,5
100104831,25,5
100104876,28,5
100104883,43,5
100104973,38,5
100105064,26,5
100105350,25,5
100105455,27,5
100105532,26,5
100105747,30,5
100105836,30,5
100105861,31,5
100105870,42,5
100105875,34,5
100105957,41,5
100105988,38,5
100106084,29,5
100106111,32,5
100106151,26,5
100106158,37,5
100106354,25,5
100106429,30,5
100106449,38,5
100106466,37,5
100106496,33,5
100106655,25,5
100106663,36,5
100106730,26,5
100106731,27,5
100106765,33,5
100106948,27,5
100106973,26,5
100107114,33,5
100107154,40,5
100107271,42,5
100107289,33,5
100107325,26,5
100107346,28,5
100107378,39,5
100107384,43,5
100107393,36,5
100107403,34,5
100107468,26,5
100107793,36,5
100107810,37,5
100107870,33,5
100107992,25,5
100108135,26,5
100108156,30,5
100108159,30,5
100108356,42,5
100108384,32,5
100108445,36,5
100108464,25,5
100108692,29,5
100108772,36,5
100109034,41,5
100109048,25,5
100109072,40,5
100109159,33,5
100109173,40,5
100109291,26,5
100109333,36,5
100109379,28,5
100109547,32,5
100109622,41,5
100109714,25,5
100109735,25,5
100109771,30,5
100109826,25,5
100109843,32,5
100109888,25,5
100109903,26,5
100109917,29,5
100109943,25,5
100110085,33,5
100110125,38,5
100110140,26,5
100110165,29,5
100110297,43,5
100110380,25,5
100110460,25,5
100110535,33,5
100110583,28,5
100110797,34,5
100110807,27,5
100110862,31,5
100111189,31,5
100111190,38,5
100111273,26,5
100111368,37,5
100111382,25,5
100111451,35,5
100111455,25,5
100111525,44,5
100111556,38,5
100111586,25,5
100111725,40,5
100111788,25,5
100111794,26,5
100111839,25,5
100111856,33,5
100111871,26,5
100111903,28,5
100111961,39,5
100112010,32,5
100112035,35,5
100112082,43,5
100112113,26,5
100112170,34,5
100112190,28,5
100112191,28,5
100112243,26,5
100112244,27,5
100112392,26,5
100112538,28,5
100112541,25,5
100112679,31,5
100112714,39,5
100112737,32,5
100112875,39,5
100113207,44,5
100113224,31,5
100113355,32,5
100113411,41,5
100113476,36,5
100113477,43,5
100113606,32,5
100113804,26,5
100113827,42,5
100113906,29,5
100113945,25,5
100113947,27,5
100114019,26,5
100114132,37,5
100114230,39,5
100114280,28,5
100114281,36,5
100114296,29,5
100114433,25,5
100114442,32,5
100114445,40,5
100114491,31,5
100114511,31,5
100114750,28,5
100114771,32,5
100114831,30,5
100114853,30,5
100115057,29,5
100115105,27,5
100115294,32,5
100115406,34,5
100115490,25,5
100115514,39,5
100115572,31,5
100115632,42,5
100115663,32,5
100115672,39,5
100115706,28,5
100115757,39,5
100116195,30,5
100116244,25,5
100116329,28,5
100116360,32,5
100116427,30,5
100116602,25,5
100116619,34,5
100116684,40,5
100116799,36,5
100116876,30,5
100117105,29,5
100117132,28,5
100117140,28,5
100117215,27,5
100117252,29,5
100117281,34,5
100117300,41,5
100117315,26,5
100117403,28,5
100117548,31,5
100117550,42,5
100117593,30,5
100117756,30,5
100117858,30,5
100117871,29,5
100117906,29,5
100117956,34,5
100118079,44,5
100118172,25,5
100118193,25,5
100118325,27,5
100118566,38,5
100118633,31,5
100118868,36,5
100118908,28,5
100118918,35,5
100118919,31,5
100118952,32,5
100118976,36,5
100119084,26,5
100119444,33,5
100119483,25,5
100119513,29,5
100119575,39,5
100119583,34,5
100119618,35,5
100119656,28,5
100119694,37,5
100119730,44,5
100119771,26,5
100119775,36,5
100119778,27,5
100119792,27,5
100119870,31,5
100119871,42,5
100119994,25,5
100120056,34,5
100120112,34,5
100120132,34,5
100120154,25,5
100120265,28,5
100120458,33,5
100120621,25,5
100120666,33,5
100120676,29,5
100120683,36,5
100120738,27,5
100120763,25,5
100120785,32,5
100120891,36,5
100120895,31,5
100120907,40,5
100120911,29,5
100121026,35,5
100121171,33,5
100121279,31,5
100121392,28,5
100121393,39,5
100121582,39,5
100121674,44,5
100121697,28,5
100121861,25,5
100121970,43,5
100122036,33,5
100122042,38,5
100122186,25,5
100122278,34,5
100122477,27,5
