pid,uptake_year,mc
100000289,25,5
100001155,25,5
100001160,25,5
100001474,25,5
100002312,25,5
100002441,25,5
100002501,25,5
100006178,25,5
100007140,25,5
100009793,25,5
100009961,25,5
100010373,25,5
100010853,25,5
100012135,25,5
100013736,25,5
100013793,25,5
100014242,25,5
100015495,25,5
100015557,25,5
100015715,25,5
100016006,25,5
100016038,25,5
100016834,25,5
100017540,25,5
100018049,25,5
100018530,25,5
100018692,25,5
100019875,25,5
100020357,25,5
100020486,25,5
100020801,25,5
100023180,25,5
100023781,25,5
100023975,25,5
100024933,25,5
100024972,25,5
100025701,25,5
100026986,25,5
100027713,25,5
100027787,25,5
100027907,25,5
100028680,25,5
100029222,25,5
100029449,25,5
100029987,25,5
100029989,25,5
100030242,25,5
100030281,25,5
100031042,25,5
100031170,25,5
100031785,25,5
100032361,25,5
100032994,25,5
100033410,25,5
100033478,25,5
100033635,25,5
100033642,25,5
100033795,25,5
100034146,25,5
100034181,25,5
100034284,25,5
100034564,25,5
100034630,25,5
100034722,25,5
100034820,25,5
100035009,25,5
100036132,25,5
100037829,25,5
100037925,25,5
100038051,25,5
100038149,25,5
100038340,25,5
100038984,25,5
100039623,25,5
100040417,25,5
100040454,25,5
100040646,25,5
100041255,25,5
100041798,25,5
100041829,25,5
100042822,25,5
100044681,25,5
100044812,25,5
100044904,25,5
100045964,25,5
100046594,25,5
100047116,25,5
100047142,25,5
100047492,25,5
100049827,25,5
100049834,25,5
100050305,25,5
100050345,25,5
100050570,25,5
100050754,25,5
100052325,25,5
100052708,25,5
100052803,25,5
100053473,25,5
100053475,25,5
100054115,25,5
100054820,25,5
100055398,25,5
100056199,25,5
100056279,25,5
100056324,25,5
100056507,25,5
100056569,25,5
100056597,25,5
100056711,25,5
100056738,25,5
100056793,25,5
100057041,25,5
100057130,25,5
100057220,25,5
100057250,25,5
100057330,25,5
100057332,25,5
100057353,25,5
100057452,25,5
100057578,25,5
100057628,25,5
100057720,25,5
100057732,25,5
100057793,25,5
100057809,25,5
100057824,25,5
100057938,25,5
100057999,25,5
100058039,25,5
100058049,25,5
100058140,25,5
100058241,25,5
100058332,25,5
100058387,25,5
100058649,25,5
100058891,25,5
100058977,25,5
100059072,25,5
100059077,25,5
100059127,25,5
100059215,25,5
100059404,25,5
100059483,25,5
100059570,25,5
100059671,25,5
100059735,25,5
100059745,25,5
100059746,25,5
100059755,25,5
100059780,25,5
100059840,25,5
100059914,25,5
100060174,25,5
100060183,25,5
100060256,25,5
100060309,25,5
100060482,25,5
100060505,25,5
100060646,25,5
100060689,25,5
100060737,25,5
100060838,25,5
100060949,25,5
100061025,25,5
100061045,25,5
100061340,25,5
100061380,25,5
100061416,25,5
100061461,25,5
100061502,25,5
100061508,25,5
100061547,25,5
100061799,25,5
100061877,25,5
100061975,25,5
100061984,25,5
100062033,25,5
100062043,25,5
100062061,25,5
100062123,25,5
100062251,25,5
100062268,25,5
100062299,25,5
100062342,25,5
100062374,25,5
100062388,25,5
100062436,25,5
100062522,25,5
100062545,25,5
100062783,25,5
100062978,25,5
100063050,25,5
100063075,25,5
100063088,25,5
100063119,25,5
100063136,25,5
100063240,25,5
100063551,25,5
100063733,25,5
100063925,25,5
100063991,25,5
100064019,25,5
100064072,25,5
100064115,25,5
100064344,25,5
100064366,25,5
100064450,25,5
100064864,25,5
100064879,25,5
100065001,25,5
100065065,25,5
100065133,25,5
100065135,25,5
100065253,25,5
100065298,25,5
100065406,25,5
100065507,25,5
100065600,25,5
100065605,25,5
100065712,25,5
100065727,25,5
100065884,25,5
100065959,25,5
100066160,25,5
100066213,25,5
100066267,25,5
100066391,25,5
100066540,25,5
100066585,25,5
100066758,25,5
100066774,25,5
100066785,25,5
100066852,25,5
